address,roll_number,year_of_sale,month_of_sale,sale_price,longitude,latitude
24 DRAKE BLVD,6025047000,2018,3,"$185,000",-97.0875775,49.872774
1013 ELIZABETH RD,6021106000,2018,3,"$237,000",-97.074197,49.871225
26 BLUE SPRUCE CRES,8004819400,2018,3,"$340,000",-97.127162,49.8228798
12 GLENTHORNE CRES,8005063800,2018,3,"$337,500",-97.1145603,49.8217276
63 NICOLLET AVE,8005467500,2018,3,"$385,300",-97.1168192,49.820022
68 NICOLLET AVE,8005480300,2018,3,"$379,900",-97.1166895,49.8196082
525 RIVER RD,8081221120,2018,3,"$322,000",-97.1274502,49.8181844
40 SETTLERS RD,8008124400,2018,3,"$517,500",-97.1344451,49.8172085
46 ST GERMAIN ST,8004635200,2018,3,"$350,000",-97.135319,49.820243
103 CROFTON BAY,8003501800,2018,3,"$290,000",-97.1202354,49.8370469
19 FALCONER BAY,8003949500,2018,3,"$332,519",-97.130379,49.82941
50 HARRY WYATT PL,8003980400,2018,3,"$570,000",-97.1288858,49.8292817
2 TRAYNOR BAY,8003855000,2018,3,"$329,000",-97.1319276,49.8270251
7 SCOTSBOROUGH PL,8005575600,2018,3,"$320,000",-97.1076947,49.820784
31 CHERRY CRES,6022783000,2018,3,"$310,000",-97.0801239,49.8588394
79 DE BOURMONT BAY,6022358000,2018,3,"$285,000",-97.079899,49.865561
35 PETERBORO BAY,6044346000,2018,3,"$250,000",-97.0599554,49.8565353
340 SPEERS RD,6041694000,2018,3,"$270,000",-97.0718847,49.8617551
206 ASHFORD DR,8007700400,2018,3,"$280,000",-97.0988424,49.8121699
423 BURLAND AVE,8006094900,2018,3,"$335,000",-97.0992027,49.8072883
91 KINGSCLEAR DR,8081222720,2018,3,"$461,640",-97.0902981,49.8021533
772 PADDINGTON RD,8081217400,2018,3,"$355,000",-97.0998944,49.7996663
66 PATELY CRES,8007761600,2018,3,"$316,000",-97.1082283,49.8053683
99 PEAR TREE BAY,8005862300,2018,3,"$295,000",-97.107309,49.8161081
